Id,Probability
0,0
1,0
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,0
100,0
101,0
102,1
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,0
114,0
115,0
116,1
117,0
118,0
400,0
401,0
402,1
403,1
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,0
414,0
415,0
416,1
417,0
418,0
600,0
601,0
602,1
603,1
604,0
605,0
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,0
614,0
615,0
616,1
617,0
618,0
700,0
701,0
702,1
703,1
704,0
705,0
706,1
707,1
708,1
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,1
717,0
718,0
1000,0
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,0
1200,0
1201,0
1202,1
1203,1
1204,0
1205,0
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,0
1213,0
1214,1
1215,0
1216,1
1217,0
1218,0
1700,0
1701,0
1702,1
1703,1
1704,0
1705,0
1706,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,0
1713,0
1714,0
1715,0
1716,1
1717,0
1718,0
2200,0
2201,0
2202,1
2203,1
2204,0
2205,0
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,0
2213,0
2214,0
2215,0
2216,1
2217,0
2218,0
2700,0
2701,0
2702,1
2703,1
2704,0
2705,0
2706,1
2707,1
2708,1
2709,1
2710,1
2711,1
2712,0
2713,0
2714,0
2715,0
2716,1
2717,0
2718,1
2800,0
2801,0
2802,1
2803,1
2804,0
2805,1
2806,1
2807,1
2808,1
2809,1
2810,1
2811,1
2812,0
2813,0
2814,0
2815,0
2816,1
2817,0
2818,0
2900,0
2901,0
2902,1
2903,1
2904,0
2905,0
2906,1
2907,1
2908,1
2909,1
2910,1
2911,1
2912,0
2913,0
2914,0
2915,0
2916,1
2917,0
2918,0
3000,0
3001,0
3002,1
3003,1
3004,0
3005,0
3006,1
3007,1
3008,1
3009,1
3010,1
3011,1
3012,0
3013,0
3014,0
3015,0
3016,1
3017,0
3018,1
3100,0
3101,0
3102,1
3103,1
3104,0
3105,0
3106,1
3107,1
3108,1
3109,1
3110,1
3111,1
3112,0
3113,0
3114,0
3115,0
3116,1
3117,0
3118,0
3200,0
3201,0
3202,1
3203,1
3204,0
3205,0
3206,1
3207,1
3208,1
3209,1
3210,1
3211,1
3212,0
3213,0
3214,0
3215,0
3216,1
3217,0
3218,1
3300,0
3301,0
3302,1
3303,1
3304,0
3305,0
3306,1
3307,1
3308,1
3309,1
3310,1
3311,1
3312,0
3313,0
3314,0
3315,0
3316,1
3317,0
3318,1
3400,0
3401,0
3402,1
3403,1
3404,0
3405,0
3406,1
3407,1
3408,1
3409,1
3410,1
3411,1
3412,0
3413,0
3414,0
3415,0
3416,1
3417,0
3418,0
3700,0
3701,0
3702,1
3703,1
3704,0
3705,0
3706,1
3707,1
3708,1
3709,1
3710,1
3711,1
3712,0
3713,0
3714,0
3715,0
3716,1
3717,0
3718,0
4000,0
4001,0
4002,1
4003,1
4004,0
4005,0
4006,1
4007,1
4008,1
4009,1
4010,1
4011,1
4012,0
4013,0
4014,0
4015,0
4016,1
4017,0
4018,1
4100,0
4101,0
4102,1
4103,1
4104,0
4105,1
4106,1
4107,1
4108,1
4109,1
4110,1
4111,1
4112,0
4113,0
4114,0
4115,0
4116,1
4117,0
4118,0
4200,0
4201,0
4202,1
4203,1
4204,0
4205,0
4206,1
4207,1
4208,1
4209,1
4210,1
4211,1
4212,0
4213,0
4214,0
4215,0
4216,1
4217,0
4218,0
4400,0
4401,0
4402,1
4403,1
4404,0
4405,0
4406,1
4407,1
4408,1
4409,1
4410,1
4411,1
4412,0
4413,0
4414,0
4415,0
4416,1
4417,0
4418,0
4700,0
4701,0
4702,1
4703,1
4704,0
4705,0
4706,1
4707,1
4708,1
4709,1
4710,1
4711,1
4712,0
4713,0
4714,0
4715,0
4716,1
4717,0
4718,1
4800,0
4801,0
4802,1
4803,1
4804,0
4805,0
4806,1
4807,1
